feature,dtype,non_null,unique,correlation
Round,int64,4413,46,-0.037605472437159324
HomeRank,int64,4413,14,-0.15826807721026773
AwayRank,int64,4413,14,-0.06017545073816666
HomePoints,int64,4413,83,0.09569981979701261
AwayPoints,int64,4413,80,0.033565593910849845
Temperature,float64,4413,308,-0.0237714114378566
Humidity,int64,4413,97,0.016895577270332036
month,int32,4413,11,-0.02677465962937225
hour,int32,4413,9,-0.12075745843770826
is_weekend,int64,4413,2,0.14279584785553046
season_phase,int64,4413,4,-0.02082057354716256
day_encoded,int64,4413,7,0.16213574651207052
home_team_popularity,float64,4413,31,0.6970666689400681
away_team_popularity,float64,4413,31,0.35440863675702716
is_derby,int64,4413,2,0.3752936652222871
rank_sum,int64,4413,25,-0.15191977193642905
rank_diff,int64,4413,14,-0.0027162074576271736
is_big_match,int64,4413,2,0.11142082562031631
points_sum,int64,4413,143,0.06888451742528541
points_diff,int64,4413,49,0.006585410868583822
is_good_temp,int64,4413,2,-0.015444612130909488
is_good_weather,int64,4413,2,0.039928293869245624
temp_range,float64,4413,6,-0.03125951555125126
weather_encoded,float64,4413,4,-0.0512658182868545
is_k1,int64,4413,2,0.45704290022121796
is_covid,int64,4413,2,-0.18809262238499197
